,original_title,release_year,runtime
569,Metalstorm: The Destruction of Jared-Syn,1983,111
570,The House on Sorority Row,1983,111
571,BMX Bandits,1983,111
572,Sleepaway Camp,1983,111
573,Something Wicked This Way Comes,1983,111
574,Mr. Mom,1983,111
575,Eddie and the Cruisers,1983,111
576,The Keep,1983,111
577,Strange Brew,1983,111
578,Acqua e sapone,1983,111
579,Brainstorm,1983,111
580,Class,1983,111
581,Rumble Fish,1983,111
582,Bad Boys,1983,111
583,Screwballs,1983,111
584,Twilight Zone: The Movie,1983,111
585,Amityville 3-D,1983,111
586,Smokey and the Bandit Part 3,1983,111
587,Curse of the Pink Panther,1983,111
588,Silkwood,1983,111
589,Flashdance,1983,111
590,Gorky Park,1983,111
591,Educating Rita,1983,111
592,Zelig,1983,111
593,All the Right Moves,1983,111
594,Valley Girl,1983,111
595,The Dead Zone,1983,111
596,Blue Thunder,1983,111
597,To Be or Not to Be,1983,111
598,Krull,1983,111
599,The Star Chamber,1983,111
600,The Osterman Weekend,1983,111
601,Rock & Rule,1983,111
602,Fire and Ice,1983,111
603,Never Cry Wolf,1983,111
604,Local Hero,1983,111
605,Michael Jackson's Thriller,1983,111
606,Deathstalker,1983,111
607,Two of a Kind,1983,111
608,Staying Alive,1983,111
609,Videodrome,1983,111
610,V,1983,111
611,Losin' It,1983,111
612,Psycho II,1983,111
613,The Big Chill,1983,111
614,Lone Wolf McQuade,1983,111
615,Amadeus,1984,110
616,The Karate Kid,1984,110
617,The Terminator,1984,110
618,Once Upon a Time in America,1984,110
619,Beverly Hills Cop,1984,110
620,The Neverending Story,1984,110
621,A Nightmare on Elm Street,1984,110
622,Gremlins,1984,110
623,Ghostbusters,1984,110
624,Indiana Jones and the Temple of Doom,1984,110
625,2010,1984,110
626,Conan the Destroyer,1984,110
627,Cheech & Chong's The Corsican Brothers,1984,110
628,Dune,1984,110
629,Romancing the Stone,1984,110
630,A Christmas Carol,1984,110
631,The Last Starfighter,1984,110
632,The Ewok Adventure,1984,110
633,The Woman in Red,1984,110
634,Night of the Comet,1984,110
635,The Killing Fields,1984,110
636,Sixteen Candles,1984,110
637,Tightrope,1984,110
638,This Is Spinal Tap,1984,110
639,Bachelor Party,1984,110
640,Starman,1984,110
641,Supergirl,1984,110
642,Nineteen Eighty-Four,1984,110
643,Repo Man,1984,110
644,Friday the 13th: The Final Chapter,1984,110
645,Footloose,1984,110
646,Moscow on the Hudson,1984,110
647,Star Trek III: The Search for Spock,1984,110
648,Red Dawn,1984,110
649,Police Academy,1984,110
650,Blood Simple,1984,110
651,Sheena,1984,110
652,The Adventures of AndrÃ© and Wally B.,1984,110
653,Splash,1984,110
654,The Company of Wolves,1984,110
655,Under the Volcano,1984,110
656,The Hit,1984,110
657,Electric Dreams,1984,110
658,Beat Street,1984,110
659,The Times of Harvey Milk,1984,110
660,Ninja III: The Domination,1984,110
661,Gwendoline,1984,110
662,Broadway Danny Rose,1984,110
663,Forbrydelsens element,1984,110
664,The Lonely Guy,1984,110
665,Razorback,1984,110
666,The Ice Pirates,1984,110
667,Airwolf: The Movie,1984,110
668,The Pope of Greenwich Village,1984,110
669,Best Defense,1984,110
670,Places in the Heart,1984,110
671,C.H.U.D.,1984,110
672,"Paris, Texas",1984,110
673,Ghoulies,1984,110
674,Runaway,1984,110
675,Body Double,1984,110
676,Revenge of the Nerds,1984,110
677,The Natural,1984,110
678,All of Me,1984,110
679,Missing in Action,1984,110
680,Falling in Love,1984,110
681,Purple Rain,1984,110
682,Birdy,1984,110
683,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,110
684,Stranger Than Paradise,1984,110
685,Blame It on Rio,1984,110
686,Frankenweenie,1984,110
687,Against All Odds,1984,110
688,Top Secret!,1984,110
689,Trancers,1984,110
690,The Cotton Club,1984,110
691,The Bounty,1984,110
692,Dreamscape,1984,110
693,City Heat,1984,110
694,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,110
695,Rats - Notte di terrore,1984,110
696,Children of the Corn,1984,110
697,The Muppets Take Manhattan,1984,110
698,The Toxic Avenger,1984,110
699,Crimes of Passion,1984,110
700,Bolero,1984,110
701,The Hills Have Eyes Part II,1984,110
702,Threads,1984,110
703,Firestarter,1984,110
704,A Soldier's Story,1984,110
705,The Philadelphia Experiment,1984,110
706,Hot Dog... The Movie,1984,110
707,Suburbia,1984,110
708,"Silent Night, Deadly Night",1984,110
709,Breakin' 2: Electric Boogaloo,1984,110
710,Tank,1984,110
711,Rhinestone,1984,110
712,Cannonball Run II,1984,110
713,Johnny Dangerously,1984,110
714,A Passage to India,1984,110
715,Cloak & Dagger,1984,110
716,Savage Streets,1984,110
717,Stop Making Sense,1984,110
718,Breakin',1984,110
719,Streets of Fire,1984,110
720,Missing in Action 2: The Beginning,1985,102
721,"North and South, Book I",1985,102
722,Vision Quest,1985,102
723,A Zed & Two Noughts,1985,102
724,The Care Bears Movie,1985,102
725,The Legend of Billie Jean,1985,102
726,Scout Toujours,1985,102
727,My Beautiful Laundrette,1985,102
728,Secret Admirer,1985,102
729,SpaceCamp,1986,157
730,Dead End Drive-In,1986,157
731,Gothic,1986,157
732,Kuryer,1986,157
733,When the Wind Blows,1986,157
734,Absolute Beginners,1986,157
735,Vamp,1986,157
736,TerrorVision,1986,157
737,Lady Jane,1986,157
738,Yuppies 2,1986,157
739,Manhunter,1986,157
740,My Best Friend's Birthday,1987,126
741,The Secret Garden,1987,126
742,Hope and Glory,1987,126
743,The Principal,1987,126
744,84 Charing Cross Road,1987,126
745,Scooby-Doo Meets the Boo Brothers,1987,126
746,Hello Mary Lou: Prom Night II,1987,126
747,Hollywood Shuffle,1987,126
748,Like Father Like Son,1987,126
749,"Silent Night, Deadly Night Part 2",1987,126
750,Baby Boom,1987,126
751,Miami Connection,1987,126
752,Three O'Clock High,1987,126
753,Who's That Girl,1987,126
754,Hamburger Hill,1987,126
755,Ernest Goes to Camp,1987,126
756,Teen Wolf Too,1987,126
757,Prick Up Your Ears,1987,126
758,No Man's Land,1987,126
759,Beauty and the Beast,1987,126
760,Best Seller,1987,126
761,Blackadder's Christmas Carol,1988,124
762,Maniac Cop,1988,124
763,Return of the Killer Tomatoes!,1988,124
764,Arthur 2: On the Rocks,1988,124
765,Monkey Shines,1988,124
766,Hollywood Chainsaw Hookers,1988,124
767,Tucker: The Man and His Dream,1988,124
768,La Vie est un long fleuve tranquille,1988,124
769,The Serpent and the Rainbow,1988,124
770,Powaqqatsi,1988,124
771,Funny Farm,1988,124
772,Running on Empty,1988,124
773,Vice Versa,1988,124
774,Colors,1988,124
775,Biloxi Blues,1988,124
776,The Couch Trip,1988,124
777,Vampire's Kiss,1988,124
778,"Slugs, muerte viscosa",1988,124
779,The Accidental Tourist,1988,124
780,Punchline,1988,124
781,Critters 2,1988,124
782,I'm Gonna Git You Sucka,1988,124
783,Tequila Sunrise,1988,124
784,Big Top Pee-wee,1988,124
785,Ernest Saves Christmas,1988,124
786,Bird,1988,124
787,She's Having a Baby,1988,124
788,Bad Dreams,1988,124
789,Dead Heat,1988,124
790,Scooby-Doo and the Ghoul School,1988,124
791,Two Moon Junction,1988,124
792,Sleepaway Camp II: Unhappy Campers,1988,124
793,Night of the Demons,1988,124
794,Eight Men Out,1988,124
795,Talk Radio,1988,124
796,"Bright Lights, Big City",1988,124
797,Earth Girls Are Easy,1988,124
798,Beaches,1988,124
799,Johnny Be Good,1988,124
800,é»‘å¤ªé™½731,1988,124
801,Young Einstein,1988,124
802,Bat*21,1988,124
803,Shoot to Kill,1988,124
804,Scarecrows,1988,124
805,The Thin Blue Line,1988,124
806,Stand and Deliver,1988,124
807,The Lair of the White Worm,1988,124
808,Sherlock Holmes: The Hound of the Baskervilles,1988,124
809,Hell Comes to Frogtown,1988,124
810,Imagine: John Lennon,1988,124
811,18 Again!,1988,124
812,Scooby-Doo! and the Reluctant Werewolf,1988,124
813,The Decline of Western Civilization Part II: The Metal Years,1988,124
814,A Cry in the Dark,1988,124
815,For Keeps,1988,124
816,Red Scorpion,1988,124
817,Paperhouse,1988,124
818,Moving,1988,124
819,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1988,124
820,Brain Damage,1988,124
821,Peter Pan,1988,124
822,The New Adventures of Pippi Longstocking,1988,124
823,Family Business,1989,121
824,Intruder,1989,121
825,Ho vinto la lotteria di Capodanno,1989,121
826,Communion,1989,121
827,Stepfather II: Make Room For Daddy,1989,121
828,"Amanece, que no es poco",1989,121
829,She-Devil,1989,121
830,Depeche Mode: 101,1989,121
831,Goldeneye,1989,121
832,Monsieur Hire,1989,121
833,Bride of Re-Animator,1989,121
834,Valmont,1989,121
835,Drugstore Cowboy,1989,121
836,The Wizard,1989,121
837,Going Overboard,1989,121
838,The Tall Guy,1989,121
839,Scandal,1989,121
840,Great Balls of Fire!,1989,121
841,UHF,1989,121
842,House III: The Horror Show,1989,121
843,Lean On Me,1989,121
844,Gross Anatomy,1989,121
845,Pink Cadillac,1989,121
846,Lonesome Dove,1989,121
847,Kill Me Again,1989,121
848,Society,1989,121
849,Little Monsters,1989,121
850,The January Man,1989,121
851,Let It Ride,1989,121
852,For All Mankind,1989,121
853,I Love You to Death,1990,133
854,Troll 2,1990,133
855,Nuns on the Run,1990,133
856,House Party,1990,133
857,Mermaids,1990,133
858,Home Alone,1990,133
859,Paris is Burning,1990,133
860,The Russia House,1990,133
861,Buried Alive,1990,133
862,The Guardian,1990,133
