,original_title,release_year,runtime
91,Mary Poppins,1964,129
92,A Hard Day's Night,1964,129
93,"Rudolph, the Red-Nosed Reindeer",1964,129
94,My Fair Lady,1964,129
95,The Train,1964,129
96,Marnie,1964,129
97,The Incredible Mr. Limpet,1964,129
98,Carry On Cleo,1964,129
99,Zulu,1964,129
100,Send Me No Flowers,1964,129
101,Murder Ahoy,1964,129
102,The Masque of the Red Death,1964,129
103,The Last Man on Earth,1964,129
104,A Shot in the Dark,1964,129
105,Fail-Safe,1964,129
106,A Charlie Brown Christmas,1965,174
107,Ten Little Indians,1965,174
108,Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,1965,174
109,Thunderball,1965,174
110,The Sound of Music,1965,174
111,Doctor Zhivago,1965,174
112,One Million Years B.C.,1966,240
113,Who's Afraid of Virginia Woolf?,1966,240
114,Fahrenheit 451,1966,240
115,How the Grinch Stole Christmas!,1966,240
116,Casino Royale,1967,142
117,The Graduate,1967,142
118,The Jungle Book,1967,142
119,The Love Bug,1968,126
120,The Party,1968,126
121,Where Eagles Dare,1968,126
122,Hang 'em High,1968,126
123,The Lion in Winter,1968,126
124,Yellow Submarine,1968,126
125,Rosemary's Baby,1968,126
126,The Thomas Crown Affair,1968,126
127,Oliver!,1968,126
128,The Odd Couple,1968,126
129,If....,1968,126
130,The Devil Rides Out,1968,126
131,The Green Berets,1968,126
132,Chitty Chitty Bang Bang,1968,126
133,The Swimmer,1968,126
134,Blackbeard's Ghost,1968,126
135,Pretty Poison,1968,126
136,Funny Girl,1968,126
137,The Little Drummer Boy,1968,126
138,Faces,1968,126
139,Bullitt,1968,126
140,Hell in the Pacific,1968,126
141,Romeo and Juliet,1968,126
142,Barbarella,1968,126
143,2001: A Space Odyssey,1968,126
144,Night of the Living Dead,1968,126
145,The Boston Strangler,1968,126
146,Planet of the Apes,1968,126
147,Mackenna's Gold,1969,180
148,Kes,1969,180
149,"Hello, Dolly!",1969,180
150,Paint Your Wagon,1969,180
151,"They Shoot Horses, Don't They?",1969,180
152,Frosty the Snowman,1969,180
153,Topaz,1969,180
154,Battle of Britain,1969,180
155,Midnight Cowboy,1969,180
156,The Wild Bunch,1969,180
157,Easy Rider,1969,180
158,Butch Cassidy and the Sundance Kid,1969,180
159,On Her Majesty's Secret Service,1969,180
160,Take the Money and Run,1969,180
161,The Aristocats,1970,166
162,Diamonds Are Forever,1971,129
163,A Clockwork Orange,1971,129
164,Willy Wonka & the Chocolate Factory,1971,129
165,The Godfather,1972,106
166,Deliverance,1972,106
167,Conquest of the Planet of the Apes,1972,106
168,Cabaret,1972,106
169,Frenzy,1972,106
170,Joe Kidd,1972,106
171,Silent Running,1972,106
172,Slaughterhouse-Five,1972,106
173,Pink Flamingos,1972,106
174,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972,106
175,Horror Express,1972,106
176,The Last House on the Left,1972,106
177,"What's Up, Doc?",1972,106
178,Jeremiah Johnson,1972,106
179,Robin Hood,1973,157
180,Animals Are Beautiful People,1974,127
181,Bring Me the Head of Alfredo Garcia,1974,127
182,Phase IV,1974,127
183,The Longest Yard,1974,127
184,Earthquake,1974,127
185,The Year Without a Santa Claus,1974,127
186,The Front Page,1974,127
187,Gone in 60 Seconds,1974,127
188,The Towering Inferno,1974,127
189,It's Alive,1974,127
190,The Parallax View,1974,127
191,Death Wish,1974,127
192,The Odessa File,1974,127
193,Zardoz,1974,127
194,The Count of Monte-Cristo,1974,127
195,Madhouse,1974,127
196,A Woman Under the Influence,1974,127
197,The Amputee,1974,127
198,Flesh Gordon,1974,127
199,Captain Kronos: Vampire Hunter,1974,127
200,Where the Red Fern Grows,1974,127
201,Benji,1974,127
202,Hearts and Minds,1974,127
203,Alice Doesn't Live Here Anymore,1974,127
204,Lenny,1974,127
205,The Taking of Pelham One Two Three,1974,127
206,Female Trouble,1974,127
207,Phantom of the Paradise,1974,127
208,The Godfather: Part II,1974,127
209,Chinatown,1974,127
210,The Man with the Golden Gun,1974,127
211,Young Frankenstein,1974,127
212,Dark Star,1974,127
213,Black Christmas,1974,127
214,Thunderbolt and Lightfoot,1974,127
215,Deranged,1974,127
216,Foxy Brown,1974,127
217,The Texas Chain Saw Massacre,1974,127
218,Il portiere di notte,1974,127
219,The Great Gatsby,1974,127
220,Airport 1975,1974,127
221,The Four Musketeers,1974,127
222,Blazing Saddles,1974,127
223,Murder on the Orient Express,1974,127
224,Herbie Rides Again,1974,127
225,The Conversation,1974,127
226,The Sugarland Express,1974,127
227,Monty Python and the Holy Grail,1975,127
228,One Flew Over the Cuckoo's Nest,1975,127
229,Jaws,1975,127
230,The Rocky Horror Picture Show,1975,127
231,Barry Lyndon,1975,127
232,The Return of the Pink Panther,1975,127
233,Murder by Death,1976,135
234,The Shootist,1976,135
235,Silver Streak,1976,135
236,Assault on Precinct 13,1976,135
237,The Pink Panther Strikes Again,1976,135
238,Futureworld,1976,135
239,The Cassandra Crossing,1976,135
240,The Man Who Fell to Earth,1976,135
241,The Missouri Breaks,1976,135
242,Freaky Friday,1976,135
243,The Boy in the Plastic Bubble,1976,135
244,The Little Girl Who Lives Down the Lane,1976,135
245,Alice Sweet Alice,1976,135
246,Two-Minute Warning,1976,135
247,Obsession,1976,135
248,Up!,1976,135
249,The Killing of a Chinese Bookie,1976,135
250,The Eagle Has Landed,1976,135
251,Family Plot,1976,135
252,Stay Hungry,1976,135
253,Network,1976,135
254,Taxi Driver,1976,135
255,Rocky,1976,135
256,The Omen,1976,135
257,Logan's Run,1976,135
258,King Kong,1976,135
259,All the President's Men,1976,135
260,The Enforcer,1976,135
261,The Outlaw Josey Wales,1976,135
262,Marathon Man,1976,135
263,Carrie,1976,135
264,Rabid,1977,85
265,Demon Seed,1977,85
266,The Kentucky Fried Movie,1977,85
267,The Island of Dr. Moreau,1977,85
268,Martin,1977,85
269,The Deep,1977,85
270,Empire of the Ants,1977,85
271,Day of the Animals,1977,85
272,The Sentinel,1977,85
273,The Goodbye Girl,1977,85
274,Opening Night,1977,85
275,Shock Waves,1977,85
276,Emmet Otter's Jug-Band Christmas,1977,85
277,The Hills Have Eyes,1977,85
278,Rollercoaster,1977,85
279,The Man in the Iron Mask,1977,85
280,The Car,1977,85
281,The Gauntlet,1977,85
282,Cross of Iron,1977,85
283,"New York, New York",1977,85
284,Slap Shot,1977,85
285,The Duellists,1977,85
286,Julia,1977,85
287,Audrey Rose,1977,85
288,Exorcist II: The Heretic,1977,85
289,Airport '77,1977,85
290,Jabberwocky,1977,85
291,Eraserhead,1977,85
292,Rolling Thunder,1977,85
293,The Message,1977,85
294,The Hobbit,1977,85
295,Wizards,1977,85
296,Black Sunday,1977,85
297,Candleshoe,1977,85
298,The Serpent's Egg,1977,85
299,The White Buffalo,1977,85
300,Orca: The Killer Whale,1977,85
301,The Last Wave,1977,85
302,"Oh, God!",1977,85
303,3 Women,1977,85
304,Kingdom of the Spiders,1977,85
305,Pumping Iron,1977,85
306,Smokey and the Bandit,1977,85
307,Sorcerer,1977,85
308,Saturday Night Fever,1977,85
309,High Anxiety,1977,85
310,Herbie Goes To Monte Carlo,1977,85
311,The Many Adventures of Winnie the Pooh,1977,85
312,A Bridge Too Far,1977,85
313,Close Encounters of the Third Kind,1977,85
314,Sinbad and the Eye of the Tiger,1977,85
315,March or Die,1977,85
316,Annie Hall,1977,85
317,The Rescuers,1977,85
318,The Spy Who Loved Me,1977,85
319,Star Wars,1977,85
320,Pete's Dragon,1977,85
321,Superman,1978,184
322,Grease,1978,184
323,Jaws 2,1978,184
324,Dawn of the Dead,1978,184
325,Halloween,1978,184
326,The Concorde... Airport '79,1979,110
327,Kramer vs. Kramer,1979,110
328,The China Syndrome,1979,110
329,The Jerk,1979,110
330,1941,1979,110
331,...And Justice for All,1979,110
332,Time After Time,1979,110
333,Breaking Away,1979,110
334,Quadrophenia,1979,110
335,Salem's Lot,1979,110
336,Tess,1979,110
337,The First Great Train Robbery,1979,110
338,10,1979,110
339,The Black Stallion,1979,110
340,The Electric Horseman,1979,110
341,The Bugs Bunny/Road Runner Movie,1979,110
342,All Quiet on the Western Front,1979,110
343,The Apple Dumpling Gang Rides Again,1979,110
344,Meteor,1979,110
345,Scum,1979,110
346,The Frisco Kid,1979,110
347,The Villain,1979,110
348,Meatballs,1979,110
349,Being There,1979,110
350,Alien,1979,110
351,Apocalypse Now,1979,110
352,Mad Max,1979,110
353,Star Trek: The Motion Picture,1979,110
354,Moonraker,1979,110
355,Life of Brian,1979,110
356,Beneath the Valley of the Ultra-Vixens,1979,110
357,The Warriors,1979,110
358,Rocky II,1979,110
359,Manhattan,1979,110
360,Phantasm,1979,110
361,Hair,1979,110
362,The Amityville Horror,1979,110
363,Escape from Alcatraz,1979,110
364,All That Jazz,1979,110
365,Nosferatu: Phantom der Nacht,1979,110
366,The Black Hole,1979,110
367,Hardcore,1979,110
368,Hanover Street,1979,110
369,Caligola,1979,110
370,The Brood,1979,110
371,Love at First Bite,1979,110
372,Stridulum,1979,110
373,Richard Pryor: Live in Concert,1979,110
374,When a Stranger Calls,1979,110
375,The Onion Field,1979,110
376,The Wanderers,1979,110
377,Tourist Trap,1979,110
378,Rock 'n' Roll High School,1979,110
379,Norma Rae,1979,110
380,Dracula,1979,110
381,The Champ,1979,110
382,Over the Edge,1979,110
383,The Changeling,1980,107
384,The Awakening,1980,107
385,Gloria,1980,107
386,Hopscotch,1980,107
387,The Stunt Man,1980,107
388,Motel Hell,1980,107
389,Forbidden Zone,1980,107
390,The Octagon,1980,107
391,Death Ship,1980,107
392,The Empire Strikes Back,1980,107
393,The Shining,1980,107
394,Airplane!,1980,107
395,The Blues Brothers,1980,107
396,The Blue Lagoon,1980,107
397,Raging Bull,1980,107
398,Superman II,1980,107
399,Friday the 13th,1980,107
400,Fame,1980,107
401,The Elephant Man,1980,107
402,Cheech & Chong's Next Movie,1980,107
403,Smokey and the Bandit II,1980,107
404,Private Benjamin,1980,107
405,The Gods Must Be Crazy,1980,107
406,The Fog,1980,107
407,Little Lord Fauntleroy,1980,107
408,Caddyshack,1980,107
409,Dressed to Kill,1980,107
410,Flash Gordon,1980,107
411,Foxes,1980,107
412,Used Cars,1980,107
413,Inferno,1980,107
414,Bronco Billy,1980,107
415,Tom Horn,1980,107
416,My Bodyguard,1980,107
417,Bad Timing,1980,107
418,Saturn 3,1980,107
419,Shogun Assassin,1980,107
420,Prom Night,1980,107
421,ShÅgun,1980,107
422,Breaker Morant,1980,107
423,The Nude Bomb,1980,107
424,The Ninth Configuration,1980,107
425,Battle Beyond the Stars,1980,107
426,Seems Like Old Times,1980,107
427,Coal Miner's Daughter,1980,107
428,Xanadu,1980,107
429,The Long Riders,1980,107
430,Maniac,1980,107
431,Humanoids from the Deep,1980,107
432,The Watcher in the Woods,1980,107
433,The Hunter,1980,107
434,Stir Crazy,1980,107
435,Where the Buffalo Roam,1980,107
436,Stardust Memories,1980,107
437,Ordinary People,1980,107
438,Brubaker,1980,107
439,å¸«å¼Ÿå‡ºé¦¬,1980,107
440,Heaven's Gate,1980,107
441,Terror Train,1980,107
442,The Big Brawl,1980,107
443,The Final Countdown,1980,107
444,Permanent Vacation,1980,107
445,Somewhere in Time,1980,107
446,Herbie Goes Bananas,1980,107
447,Any Which Way You Can,1980,107
448,The Long Good Friday,1980,107
449,The Dogs of War,1980,107
450,Popeye,1980,107
451,Urban Cowboy,1980,107
452,The Exterminator,1980,107
453,The Mirror Crack'd,1980,107
454,The Big Red One,1980,107
455,American Gigolo,1980,107
456,Cruising,1980,107
457,Alligator,1980,107
458,Altered States,1980,107
459,Nine to Five,1980,107
460,Atlantic City,1980,107
461,Dead & Buried,1981,113
462,Porky's,1981,113
463,Reds,1981,113
464,The Cannonball Run,1981,113
465,Absence of Malice,1981,113
466,Time Bandits,1981,113
467,Victory,1981,113
468,Thief,1981,113
469,Piranha Part Two: The Spawning,1981,113
470,Outland,1981,113
471,Le Professionnel,1981,113
472,Endless Love,1981,113
473,Omen III: The Final Conflict,1981,113
474,Scanners,1981,113
475,Stripes,1981,113
476,Chariots of Fire,1981,113
477,Arthur,1981,113
478,Mad Max 2,1981,113
479,Blow Out,1981,113
480,History of the World: Part I,1981,113
481,An American Werewolf in London,1981,113
482,Heavy Metal,1981,113
483,The Evil Dead,1981,113
484,Road Games,1981,113
485,Escape from New York,1981,113
486,On Golden Pond,1981,113
487,Friday the 13th Part 2,1981,113
488,Southern Comfort,1981,113
489,Gallipoli,1981,113
490,Halloween II,1981,113
491,The Postman Always Rings Twice,1981,113
492,Excalibur,1981,113
493,Queen - Rock Montreal,1981,113
494,Student Bodies,1981,113
495,Garde Ã  vue,1981,113
496,Ghost Story,1981,113
497,The Burning,1981,113
498,Happy Birthday to Me,1981,113
499,The Funhouse,1981,113
500,"Bianco, rosso e Verdone",1981,113
501,Looker,1981,113
502,Condorman,1981,113
503,Caveman,1981,113
504,My Bloody Valentine,1981,113
505,Mommie Dearest,1981,113
506,Wolfen,1981,113
507,Neighbors,1981,113
508,Dark Night of the Scarecrow,1981,113
509,The Fox and the Hound,1981,113
510,Hell Night,1981,113
511,Death Hunt,1981,113
512,Galaxy of Terror,1981,113
513,Cutter's Way,1981,113
514,Ragtime,1981,113
515,Dragonslayer,1981,113
516,Nice Dreams,1981,113
517,The French Lieutenant's Woman,1981,113
518,The Howling,1981,113
519,Nighthawks,1981,113
520,Sharky's Machine,1981,113
521,My Dinner with AndrÃ©,1981,113
522,Ms .45,1981,113
523,Eye of the Needle,1981,113
524,Cannibal Ferox,1981,113
525,Clash of the Titans,1981,113
526,Lion of the Desert,1981,113
527,The Great Muppet Caper,1981,113
528,Taps,1981,113
529,For Your Eyes Only,1981,113
530,Raiders of the Lost Ark,1981,113
531,Private Lessons,1981,113
532,First Blood,1982,117
533,Blade Runner,1982,117
534,E.T. the Extra-Terrestrial,1982,117
535,The Thing,1982,117
536,Cat People,1982,117
537,Tron,1982,117
538,Trail of the Pink Panther,1982,117
539,Poltergeist,1982,117
540,Annie,1982,117
541,Creepshow,1982,117
542,Grease 2,1982,117
543,A Midsummer Night's Sex Comedy,1982,117
544,Sophie's Choice,1982,117
545,Tenebre,1982,117
546,An Officer and a Gentleman,1982,117
547,The Last Unicorn,1982,117
548,The Snowman,1982,117
549,The Secret of NIMH,1982,117
550,Rocky III,1982,117
551,Swamp Thing,1982,117
552,Night Shift,1982,117
553,The King of Comedy,1982,117
554,Airplane II: The Sequel,1982,117
555,Gandhi,1982,117
556,Pink Floyd: The Wall,1982,117
557,The Dark Crystal,1982,117
558,Evil Under the Sun,1982,117
559,Fast Times at Ridgemont High,1982,117
560,Star Trek II: The Wrath of Khan,1982,117
561,48 Hrs.,1982,117
562,Conan the Barbarian,1982,117
563,Dead Men Don't Wear Plaid,1982,117
564,Tootsie,1982,117
565,Yentl,1983,110
566,Risky Business,1983,110
567,WarGames,1983,110
568,National Lampoon's Vacation,1983,110
569,Jaws 3,1983,110
570,The Meaning of Life,1983,110
571,Terms of Endearment,1983,110
572,Private School,1983,110
573,Sudden Impact,1983,110
574,The Right Stuff,1983,110
575,Breathless,1983,110
576,Yellowbeard,1983,110
577,Mickey's Christmas Carol,1983,110
578,Still Smokin,1983,110
579,The Hunger,1983,110
580,Christine,1983,110
581,The Outsiders,1983,110
582,Porky's II: The Next Day,1983,110
583,Under Fire,1983,110
584,The Man with Two Brains,1983,110
585,The Day After,1983,110
586,Cujo,1983,110
587,Trading Places,1983,110
588,Superman III,1983,110
589,Octopussy,1983,110
590,Return of the Jedi,1983,110
591,Scarface,1983,110
592,Never Say Never Again,1983,110
593,A Christmas Story,1983,110
594,Cannonball Run II,1984,110
595,Johnny Dangerously,1984,110
596,Cloak & Dagger,1984,110
597,Stop Making Sense,1984,110
598,Streets of Fire,1984,110
599,The Hills Have Eyes Part II,1984,110
600,Breakin',1984,110
601,A Passage to India,1984,110
602,Savage Streets,1984,110
603,Rhinestone,1984,110
604,Tank,1984,110
605,Breakin' 2: Electric Boogaloo,1984,110
606,"Silent Night, Deadly Night",1984,110
607,Suburbia,1984,110
608,Hot Dog... The Movie,1984,110
609,The Philadelphia Experiment,1984,110
610,A Soldier's Story,1984,110
611,Firestarter,1984,110
612,The Toxic Avenger,1984,110
613,Threads,1984,110
614,Crimes of Passion,1984,110
615,Frankenweenie,1984,110
616,Trancers,1984,110
617,Revenge of the Nerds,1984,110
618,Bolero,1984,110
619,Body Double,1984,110
620,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,110
621,City Heat,1984,110
622,Dreamscape,1984,110
623,The Bounty,1984,110
624,The Cotton Club,1984,110
625,The Muppets Take Manhattan,1984,110
626,Top Secret!,1984,110
627,Against All Odds,1984,110
628,Blame It on Rio,1984,110
629,Stranger Than Paradise,1984,110
630,"Paris, Texas",1984,110
631,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,110
632,Birdy,1984,110
633,Purple Rain,1984,110
634,Falling in Love,1984,110
635,Missing in Action,1984,110
636,All of Me,1984,110
637,The Natural,1984,110
638,Children of the Corn,1984,110
639,Rats - Notte di terrore,1984,110
640,C.H.U.D.,1984,110
641,Splash,1984,110
642,Runaway,1984,110
643,Ghoulies,1984,110
644,Places in the Heart,1984,110
645,Best Defense,1984,110
646,The Pope of Greenwich Village,1984,110
647,Airwolf: The Movie,1984,110
648,The Ice Pirates,1984,110
649,Razorback,1984,110
650,The Lonely Guy,1984,110
651,Forbrydelsens element,1984,110
652,Broadway Danny Rose,1984,110
653,Gwendoline,1984,110
654,Ninja III: The Domination,1984,110
655,The Times of Harvey Milk,1984,110
656,Beat Street,1984,110
657,Electric Dreams,1984,110
658,The Hit,1984,110
659,Under the Volcano,1984,110
660,The Company of Wolves,1984,110
661,Blood Simple,1984,110
662,The Adventures of AndrÃ© and Wally B.,1984,110
663,A Christmas Carol,1984,110
664,Sheena,1984,110
665,Police Academy,1984,110
666,Red Dawn,1984,110
667,Star Trek III: The Search for Spock,1984,110
668,Moscow on the Hudson,1984,110
669,Footloose,1984,110
670,Friday the 13th: The Final Chapter,1984,110
671,Repo Man,1984,110
672,Nineteen Eighty-Four,1984,110
673,Supergirl,1984,110
674,Romancing the Stone,1984,110
675,Starman,1984,110
676,This Is Spinal Tap,1984,110
677,Cheech & Chong's The Corsican Brothers,1984,110
678,Sixteen Candles,1984,110
679,The Killing Fields,1984,110
680,Night of the Comet,1984,110
681,The Woman in Red,1984,110
682,The Ewok Adventure,1984,110
683,The Last Starfighter,1984,110
684,Bachelor Party,1984,110
685,Dune,1984,110
686,Tightrope,1984,110
687,Conan the Destroyer,1984,110
688,2010,1984,110
689,Indiana Jones and the Temple of Doom,1984,110
690,A Nightmare on Elm Street,1984,110
691,Ghostbusters,1984,110
692,Gremlins,1984,110
693,The Neverending Story,1984,110
694,Beverly Hills Cop,1984,110
695,Once Upon a Time in America,1984,110
696,The Terminator,1984,110
697,The Karate Kid,1984,110
698,Amadeus,1984,110
699,The Return of the Living Dead,1985,101
700,Police Academy 2: Their First Assignment,1985,101
701,National Lampoonâ€™s European Vacation,1985,101
702,Cocoon,1985,101
703,D.A.R.Y.L.,1985,101
704,The Emerald Forest,1985,101
705,King Solomon's Mines,1985,101
706,Red Sonja,1985,101
707,Witness,1985,101
708,Fright Night,1985,101
709,Day of the Dead,1985,101
710,Fletch,1985,101
711,Friday the 13th: A New Beginning,1985,101
712,Santa Claus: The Movie,1985,101
713,Code of Silence,1985,101
714,The Quiet Earth,1985,101
715,American Ninja,1985,101
716,Weird Science,1985,101
717,Pale Rider,1985,101
718,The Purple Rose of Cairo,1985,101
719,Mask,1985,101
720,Commando,1985,101
721,Lifeforce,1985,101
722,The Jewel of the Nile,1985,101
723,Phenomena,1985,101
724,Clue: The Movie,1985,101
725,The Color Purple,1985,101
726,Brazil,1985,101
727,Re-Animator,1985,101
728,Back to the Future,1985,101
729,The Breakfast Club,1985,101
730,Ladyhawke,1985,101
731,Mad Max Beyond Thunderdome,1985,101
732,A View to a Kill,1985,101
733,Legend,1985,101
734,The Goonies,1985,101
735,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,101
736,Rambo: First Blood Part II,1985,101
737,Out of Africa,1985,101
738,Rocky IV,1985,101
739,The Black Cauldron,1985,101
740,Porky's Revenge,1985,101
741,My Science Project,1985,101
742,Real Genius,1985,101
743,Mischief,1985,101
744,Runaway Train,1985,101
745,The Journey of Natty Gann,1985,101
746,Volunteers,1985,101
747,The Falcon and the Snowman,1985,101
748,White Nights,1985,101
749,Return to Oz,1985,101
750,Transylvania 6-5000,1985,101
751,Jagged Edge,1985,101
752,Mishima: A Life in Four Chapters,1985,101
753,Howling II: Stirba - Werewolf Bitch,1985,101
754,Remo Williams: The Adventure Begins...,1985,101
755,Flesh + Blood,1985,101
756,Once Bitten,1985,101
757,Anne of Green Gables,1985,101
758,To Live and Die in L.A.,1985,101
759,The Last Dragon,1985,101
760,The Stuff,1985,101
761,Girls Just Want to Have Fun,1985,101
762,Explorers,1985,101
763,Shoah,1985,101
764,Year of the Dragon,1985,101
765,Perfect,1985,101
766,Into the Night,1985,101
767,Just One of the Guys,1985,101
768,American Flyers,1985,101
769,The Man with One Red Shoe,1985,101
770,Summer Rental,1985,101
771,Young Sherlock Holmes,1985,101
772,The Sure Thing,1985,101
773,Spies Like Us,1985,101
774,Death Wish 3,1985,101
775,Private Resort,1985,101
776,After Hours,1985,101
777,Pee-wee's Big Adventure,1985,101
778,Prizzi's Honor,1985,101
779,Better Off Dead...,1985,101
780,Death of a Salesman,1985,101
781,Ewoks: The Battle for Endor,1985,101
782,A Chorus Line,1985,101
783,Cat's Eye,1985,101
784,Desperately Seeking Susan,1985,101
785,Brewster's Millions,1985,101
786,Enemy Mine,1985,101
787,Silverado,1985,101
788,Alice in Wonderland,1985,101
789,The Protector,1985,101
790,Teen Wolf,1985,101
791,Kiss of the Spider Woman,1985,101
792,Silver Bullet,1985,101
793,St. Elmo's Fire,1985,101
794,Fandango,1985,101
795,Crimewave,1985,101
796,Gotcha!,1985,101
797,Loose Screws,1985,101
798,Invasion U.S.A.,1985,101
799,Platoon,1986,146
800,Highlander,1986,146
801,Aliens,1986,146
802,Top Gun,1986,146
803,Dirty Dancing,1987,124
804,Spaceballs,1987,124
805,Full Metal Jacket,1987,124
806,Predator,1987,124
807,The Living Daylights,1987,124
808,RoboCop,1987,124
809,Angel Heart,1987,124
810,Lethal Weapon,1987,124
811,*batteries not included,1987,124
812,Over the Top,1987,124
813,"Planes, Trains and Automobiles",1987,124
814,Innerspace,1987,124
815,Police Academy 4: Citizens on Patrol,1987,124
816,Fatal Attraction,1987,124
817,The Last Emperor,1987,124
818,"Good Morning, Vietnam",1987,124
819,The Untouchables,1987,124
820,Raising Arizona,1987,124
821,Superman IV: The Quest for Peace,1987,124
822,Beverly Hills Cop II,1987,124
823,Wall Street,1987,124
824,A Nightmare on Elm Street 3: Dream Warriors,1987,124
825,The Princess Bride,1987,124
826,Jaws: The Revenge,1987,124
827,The Lost Boys,1987,124
828,The Running Man,1987,124
829,Evil Dead II,1987,124
830,License to Drive,1988,122
831,The Naked Gun: From the Files of Police Squad!,1988,122
832,Big,1988,122
833,Die Hard,1988,122
834,The Toxic Avenger Part II,1989,120
835,Crimes and Misdemeanors,1989,120
836,Black Rain,1989,120
837,Driving Miss Daisy,1989,120
838,The Phantom of the Opera,1989,120
839,Little Nemo: Adventures In Slumberland,1989,120
840,The Fabulous Baker Boys,1989,120
841,Wild Orchid,1989,120
842,Santa sangre,1989,120
843,Steel Magnolias,1989,120
844,My Left Foot: The Story of Christy Brown,1989,120
845,How to Get Ahead in Advertising,1989,120
846,DeepStar Six,1989,120
847,New York Stories,1989,120
848,Shocker,1989,120
849,Miracle Mile,1989,120
850,Warlock,1989,120
851,Teen Witch,1989,120
852,Friday the 13th Part VIII: Jason Takes Manhattan,1989,120
853,Always,1989,120
854,Police Academy 6: City Under Siege,1989,120
855,Sleepaway Camp III: Teenage Wasteland,1989,120
856,Turner & Hooch,1989,120
857,Johnny Handsome,1989,120
858,"The Cook, the Thief, His Wife & Her Lover",1989,120
859,All Dogs Go to Heaven,1989,120
860,Blind Fury,1989,120
861,Harlem Nights,1989,120
862,Sea of Love,1989,120
863,The BFG,1989,120
864,Dead Calm,1989,120
865,The Dream Team,1989,120
866,Her Alibi,1989,120
867,Road House,1989,120
868,Chances Are,1989,120
869,Jacknife,1989,120
870,Troop Beverly Hills,1989,120
871,Millennium,1989,120
872,Field of Dreams,1989,120
873,Erik the Viking,1989,120
874,Fletch Lives,1989,120
875,Robot Jox,1989,120
876,An Innocent Man,1989,120
877,The Mighty Quinn,1989,120
878,The Woman in Black,1989,120
879,Gleaming the Cube,1989,120
880,She's Out of Control,1989,120
